road_id,short_id,road_class,source_feature_id,paper_road_id,representative_longitude_deg,representative_latitude_deg,coordinate_reference_system,google_maps_lookup_url,source_note
MORND-MAJ-001,M001,Major,1,,99.0678662210346,24.2462131527292,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24621315,99.06786622",Manually digitized with Google satellite imagery as reference
MORND-MAJ-002,M002,Major,2,A,99.0659983325898,24.2491631910777,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24916319,99.06599833",Manually digitized with Google satellite imagery as reference
MORND-MAJ-003,M003,Major,3,,99.060433369022,24.2457634415349,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24576344,99.06043337",Manually digitized with Google satellite imagery as reference
MORND-MAJ-004,M004,Major,4,,99.059663178326,24.2492708718471,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24927087,99.05966318",Manually digitized with Google satellite imagery as reference
MORND-MAJ-005,M005,Major,5,,99.0666194526509,24.2533820799495,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25338208,99.06661945",Manually digitized with Google satellite imagery as reference
MORND-MAJ-006,M006,Major,6,,99.0598530386363,24.2425968990369,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24259690,99.05985304",Manually digitized with Google satellite imagery as reference
MORND-MAJ-007,M007,Major,7,,99.0620490944242,24.2557406357567,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25574064,99.06204909",Manually digitized with Google satellite imagery as reference
MORND-MAJ-008,M008,Major,8,,99.0617708942783,24.2492274350455,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24922744,99.06177089",Manually digitized with Google satellite imagery as reference
MORND-MAJ-009,M009,Major,9,,99.0645107966201,24.2577135962826,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25771360,99.06451080",Manually digitized with Google satellite imagery as reference
MORND-FLD-001,F001,Field,1,,99.0685534094118,24.2499771262392,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24997713,99.06855341",Manually digitized with Google satellite imagery as reference
MORND-FLD-002,F002,Field,2,,99.0695787907596,24.2498284384352,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24982844,99.06957879",Manually digitized with Google satellite imagery as reference
MORND-FLD-003,F003,Field,3,,99.0707050666512,24.2493441293468,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24934413,99.07070507",Manually digitized with Google satellite imagery as reference
MORND-FLD-004,F004,Field,4,,99.0706826462055,24.2518987015672,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25189870,99.07068265",Manually digitized with Google satellite imagery as reference
MORND-FLD-005,F005,Field,5,,99.0679715833491,24.2477377719307,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24773777,99.06797158",Manually digitized with Google satellite imagery as reference
MORND-FLD-006,F006,Field,6,,99.0649661405107,24.2491637873403,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24916379,99.06496614",Manually digitized with Google satellite imagery as reference
MORND-FLD-007,F007,Field,7,,99.0694781759332,24.2547341222979,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25473412,99.06947818",Manually digitized with Google satellite imagery as reference
MORND-FLD-008,F008,Field,8,,99.0699126612706,24.2542406445157,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25424064,99.06991266",Manually digitized with Google satellite imagery as reference
MORND-FLD-009,F009,Field,9,,99.0694148872605,24.2531464721712,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25314647,99.06941489",Manually digitized with Google satellite imagery as reference
MORND-FLD-010,F010,Field,10,,99.0683493443233,24.2525889876725,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25258899,99.06834934",Manually digitized with Google satellite imagery as reference
MORND-FLD-011,F011,Field,11,,99.0635311483098,24.252298442949,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25229844,99.06353115",Manually digitized with Google satellite imagery as reference
MORND-FLD-012,F012,Field,12,,99.0655982039672,24.2522270009571,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25222700,99.06559820",Manually digitized with Google satellite imagery as reference
MORND-FLD-013,F013,Field,13,,99.0683549440772,24.2521334878445,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25213349,99.06835494",Manually digitized with Google satellite imagery as reference
MORND-FLD-014,F014,Field,14,C,99.0645727044827,24.2580996382974,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25809964,99.06457270",Manually digitized with Google satellite imagery as reference
MORND-FLD-015,F015,Field,15,,99.0655719121078,24.2514059678126,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25140597,99.06557191",Manually digitized with Google satellite imagery as reference
MORND-FLD-016,F016,Field,16,,99.0674270718805,24.251667846974,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25166785,99.06742707",Manually digitized with Google satellite imagery as reference
MORND-FLD-017,F017,Field,17,,99.0718790881129,24.2527898481289,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25278985,99.07187909",Manually digitized with Google satellite imagery as reference
MORND-FLD-018,F018,Field,18,,99.0716577622691,24.2543489205741,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25434892,99.07165776",Manually digitized with Google satellite imagery as reference
MORND-FLD-019,F019,Field,19,,99.0724871483466,24.2560411809357,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25604118,99.07248715",Manually digitized with Google satellite imagery as reference
MORND-FLD-020,F020,Field,20,,99.0708483974178,24.254224355193,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25422436,99.07084840",Manually digitized with Google satellite imagery as reference
MORND-FLD-021,F021,Field,21,,99.0641028603758,24.2545580484687,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25455805,99.06410286",Manually digitized with Google satellite imagery as reference
MORND-FLD-022,F022,Field,22,,99.0698265936453,24.2515246619578,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25152466,99.06982659",Manually digitized with Google satellite imagery as reference
MORND-FLD-023,F023,Field,23,,99.0704174419074,24.2515917634857,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25159176,99.07041744",Manually digitized with Google satellite imagery as reference
MORND-FLD-024,F024,Field,24,,99.0713509244615,24.251019714252,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25101971,99.07135092",Manually digitized with Google satellite imagery as reference
MORND-FLD-025,F025,Field,25,,99.0701824066811,24.2512253423485,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25122534,99.07018241",Manually digitized with Google satellite imagery as reference
MORND-FLD-026,F026,Field,26,,99.0710932980863,24.2507300099832,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25073001,99.07109330",Manually digitized with Google satellite imagery as reference
MORND-FLD-027,F027,Field,27,,99.0697355033752,24.2510246966949,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25102470,99.06973550",Manually digitized with Google satellite imagery as reference
MORND-FLD-028,F028,Field,28,,99.0693123553413,24.250462090286,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.25046209,99.06931236",Manually digitized with Google satellite imagery as reference
MORND-FLD-029,F029,Field,29,,99.0661290410516,24.2484677327436,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24846773,99.06612904",Manually digitized with Google satellite imagery as reference
MORND-FLD-030,F030,Field,30,,99.0656065432493,24.2481751727726,EPSG:4490 (CGCS2000 geographic),"https://www.google.com/maps/search/?api=1&query=24.24817517,99.06560654",Manually digitized with Google satellite imagery as reference
