road_id,road_class,source_feature_id,dem_valid_fraction,representative_longitude_deg,representative_latitude_deg
MORND-MAJ-001,Major,1,0.993000874890639,99.0678662210346,24.2462131527292
MORND-MAJ-004,Major,4,0.993630573248408,99.059663178326,24.2492708718471
MORND-MAJ-005,Major,5,0.992299229922992,99.0666194526509,24.2533820799495
MORND-MAJ-006,Major,6,0.984293193717278,99.0598530386363,24.2425968990369
MORND-FLD-014,Field,14,0.985507246376812,99.0645727044827,24.2580996382974
MORND-FLD-112,Field,112,0.976744186046512,99.0591688625796,24.2448412518665
MORND-FLD-113,Field,113,0.952380952380952,99.058493474716,24.2456005205643
MORND-FLD-194,Field,194,0.989130434782609,99.0601409867077,24.2564542086782
MORND-FLD-195,Field,195,0.992779783393502,99.0630137950401,24.2537787471124
MORND-FLD-201,Field,201,0.777777777777778,99.0582236578747,24.254977542947
MORND-FLD-202,Field,202,0.92,99.0584276173013,24.2544665031758
MORND-FLD-204,Field,204,0.977900552486188,99.0595998841489,24.2560677349085
MORND-FLD-270,Field,270,0.995934959349594,99.0629958033594,24.2435090762986
MORND-FLD-274,Field,274,0.991596638655462,99.0610850945826,24.2421497533451
MORND-FLD-275,Field,275,0.974358974358974,99.0592982543853,24.2420218086477
MORND-FLD-276,Field,276,0.97029702970297,99.0590437666121,24.2433487347413
MORND-FLD-280,Field,280,0.992805755395683,99.0606098156339,24.2427886027441
MORND-FLD-281,Field,281,0.985294117647059,99.0601118296471,24.242194214143
MORND-FLD-282,Field,282,0.976744186046512,99.0596844891026,24.2420379342038
MORND-FLD-284,Field,284,0.9,99.0583950571492,24.2429857109532
