ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,RunCount,J_Mean,J_SD,L3D_Mean_m,L3D_SD_m,Hplus_Mean_m,Hplus_SD_m,FlightTime_Mean_s,FlightTime_SD_s,TransferEnergy_Mean_kJ,TransferEnergy_SD_kJ,TransferLength_Mean_m,TransferLength_SD_m,DetourCount_Mean,UnsafeStraightCount_Mean,MinimumTransferClearance_Mean_m,Improvement_Mean_pct,Improvement_SD_pct,Gap_Mean_pct,Gap_SD_pct,Runtime_Mean_s,Runtime_SD_s,Generations_Mean,J_MeanPlusMinusSD,L3D_MeanPlusMinusSD_m,Hplus_MeanPlusMinusSD_m,FlightTime_MeanPlusMinusSD_s,TransferEnergy_MeanPlusMinusSD_kJ,Improvement_MeanPlusMinusSD_pct,Gap_MeanPlusMinusSD_pct,Runtime_MeanPlusMinusSD_s
5,1,R05_I01,1,FIXED,Fixed order + fixed direction,1,255.062434601415,0,6722.49523264759,0,386.117880355365,0,913.480498981728,0,95.2772612794328,0,4308.14389794514,0,5,5,25,0,0,9.60303978596864,0,8.72e-05,0,0,255.062 ± 0.000,6722.495 ± 0.000,386.118 ± 0.000,913.480 ± 0.000,95.277 ± 0.000,0.000 ± 0.000,9.603 ± 0.000,0.0001 ± 0.0000
5,1,R05_I01,2,NN_DP,Nearest neighbour-DP,1,239.517470087463,0,5980.18769933321,0,354.45159493301,0,855.042283950989,0,79.7805615503188,0,3565.83636463077,0,4,4,25,6.0945723105968,0,2.9232032716006,0,0.0039528,0,0,239.517 ± 0.000,5980.188 ± 0.000,354.452 ± 0.000,855.042 ± 0.000,79.781 ± 0.000,6.095 ± 0.000,2.923 ± 0.000,0.0040 ± 0.0000
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,20,232.714745046759,2.9160058604849e-14,5834.31836575755,1.86624375071033e-12,289.436287099597,5.8320117209698e-14,841.678173057202,4.66560937677584e-13,73.0856591808328,1.45800293024245e-14,3419.96703105511,4.66560937677584e-13,4,4,25,8.76165460804859,1.82250366280306e-15,0,0,0.265463245,0.0325820739883706,150,232.715 ± 0.000,5834.318 ± 0.000,289.436 ± 0.000,841.678 ± 0.000,73.086 ± 0.000,8.762 ± 0.000,0.000 ± 0.000,0.2655 ± 0.0326
5,1,R05_I01,4,GA_DP,Proposed GA-DP,20,232.714745046759,2.9160058604849e-14,5834.31836575755,1.86624375071033e-12,289.436287099597,5.8320117209698e-14,841.678173057202,4.66560937677584e-13,73.0856591808328,1.45800293024245e-14,3419.96703105511,4.66560937677584e-13,4,4,25,8.76165460804859,1.82250366280306e-15,0,0,0.139889135,0.0125532426305035,150,232.715 ± 0.000,5834.318 ± 0.000,289.436 ± 0.000,841.678 ± 0.000,73.086 ± 0.000,8.762 ± 0.000,0.000 ± 0.000,0.1399 ± 0.0126
5,1,R05_I01,5,EXACT,Exact optimum,1,232.714745046759,0,5834.31836575755,0,289.436287099597,0,841.678173057203,0,73.0856591808328,0,3419.96703105511,0,4,4,25,8.76165460804858,0,0,0,0.0278539,0,0,232.715 ± 0.000,5834.318 ± 0.000,289.436 ± 0.000,841.678 ± 0.000,73.086 ± 0.000,8.762 ± 0.000,0.000 ± 0.000,0.0279 ± 0.0000
5,2,R05_I02,1,FIXED,Fixed order + fixed direction,1,241.48726498885,0,6399.13867258781,0,252.774128671458,0,907.528345208486,0,82.3057590356318,0,3992.23042277678,0,5,4,28.2695353204216,0,0,10.7457535422222,0,6.69e-05,0,0,241.487 ± 0.000,6399.139 ± 0.000,252.774 ± 0.000,907.528 ± 0.000,82.306 ± 0.000,0.000 ± 0.000,10.746 ± 0.000,0.0001 ± 0.0000
5,2,R05_I02,2,NN_DP,Nearest neighbour-DP,1,224.703169685233,0,5587.97217287817,0,208.774955201094,0,833.484854083825,0,65.575926503683,0,3181.06392306713,0,4,2,25.204433963884,6.95030245358553,0,3.04858871653533,0,0.0003288,0,0,224.703 ± 0.000,5587.972 ± 0.000,208.775 ± 0.000,833.485 ± 0.000,65.576 ± 0.000,6.950 ± 0.000,3.049 ± 0.000,0.0003 ± 0.0000
5,2,R05_I02,3,JOINT_GA,Joint-encoding GA,20,218.224983931133,0.521498296531238,5161.12226222274,50.3782802553159,247.699812722141,13.3120203915312,793.294019915219,7.55993401895493,59.0657819790834,0.494271084144105,2754.21401241171,50.3782802553159,3,2.1,25.204433963884,9.6329224892215,0.215952711442286,0.0777009433956589,0.23915845758162,0.25665919,0.0176202226125163,150,218.225 ± 0.521,5161.122 ± 50.378,247.700 ± 13.312,793.294 ± 7.560,59.066 ± 0.494,9.633 ± 0.216,0.078 ± 0.239,0.2567 ± 0.0176
5,2,R05_I02,4,GA_DP,Proposed GA-DP,20,218.055552709551,5.8320117209698e-14,5144.75470431962,1.86624375071033e-12,252.024796891146,1.45800293024245e-13,790.837849177117,2.33280468838792e-13,58.9051966921588,3.64500732560612e-14,2737.84645450859,9.33121875355167e-13,3,2,25.204433963884,9.70308404477589,1.82250366280306e-15,0,0,0.13557834,0.00929403555328277,150,218.056 ± 0.000,5144.755 ± 0.000,252.025 ± 0.000,790.838 ± 0.000,58.905 ± 0.000,9.703 ± 0.000,0.000 ± 0.000,0.1356 ± 0.0093
5,2,R05_I02,5,EXACT,Exact optimum,1,218.055552709551,0,5144.75470431962,0,252.024796891146,0,790.837849177117,0,58.9051966921588,0,2737.84645450859,0,3,2,25.204433963884,9.70308404477589,0,0,0,0.0036783,0,0,218.056 ± 0.000,5144.755 ± 0.000,252.025 ± 0.000,790.838 ± 0.000,58.905 ± 0.000,9.703 ± 0.000,0.000 ± 0.000,0.0037 ± 0.0000
5,3,R05_I03,1,FIXED,Fixed order + fixed direction,1,235.684298738876,0,5759.96765663558,0,315.404947414444,0,858.306554328194,0,76.8640941824317,0,3356.38936945403,0,5,5,25,0,0,14.9636970637436,0,3.71e-05,0,0,235.684 ± 0.000,5759.968 ± 0.000,315.405 ± 0.000,858.307 ± 0.000,76.864 ± 0.000,0.000 ± 0.000,14.964 ± 0.000,0.0000 ± 0.0000
5,3,R05_I03,2,NN_DP,Nearest neighbour-DP,1,210.280098481579,0,4712.39016128914,0,240.304392928931,0,761.703537297883,0,51.559286206541,0,2308.81187410759,0,2,2,26.5358989847173,10.7789107688686,0,2.5718627406502,0,0.0001072,0,0,210.280 ± 0.000,4712.390 ± 0.000,240.304 ± 0.000,761.704 ± 0.000,51.559 ± 0.000,10.779 ± 0.000,2.572 ± 0.000,0.0001 ± 0.0000
