ScaleR,InstanceNumber,InstanceID,MethodOrder,MethodID,MethodLabel,Run,Seed,J,L3D_m,Hplus_m,FlightTime_s,TransferEnergy_kJ,TransferLength_m,DetourCount,UnsafeStraightCount,MinimumTransferClearance_m,ImprovementVsFixed_pct,GapToExact_pct,Runtime_s,Generations,OrderLibraryIndices,OrderRouteIDs,Directions,Feasible,OptimalityCertified,ExactSolverGap_pct
5,1,R05_I01,1,FIXED,Fixed order + fixed direction,1,NaN,255.062434601415,6722.49523264759,386.117880355365,913.480498981728,95.2772612794328,4308.14389794514,5,5,25,0,9.60303978596864,8.72e-05,0,24-14-3-6-10,M007_S007800|M009_S005000|M009_S010000|F021_S005000|F300_S005000,+++++,1,0,NaN
5,1,R05_I01,2,NN_DP,Nearest neighbour-DP,1,NaN,239.517470087463,5980.18769933321,354.45159493301,855.042283950989,79.7805615503188,3565.83636463077,4,4,25,6.0945723105968,2.9232032716006,0.0039528,0,10-6-24-14-3,F300_S005000|F021_S005000|M007_S007800|M009_S005000|M009_S010000,+-+++,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,1,20763001,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.4009764,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,2,20763002,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2681736,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,3,20763003,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2653799,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,4,20763004,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2601836,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,5,20763005,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.254326,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,6,20763006,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2750412,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,7,20763007,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2518944,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,8,20763008,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2560678,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,9,20763009,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.257294,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,10,20763010,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2612351,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,11,20763011,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2579742,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,12,20763012,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2536948,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,13,20763013,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2605013,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,14,20763014,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2601649,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,15,20763015,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2472917,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
5,1,R05_I01,3,JOINT_GA,Joint-encoding GA,16,20763016,232.714745046759,5834.31836575755,289.436287099597,841.678173057203,73.0856591808328,3419.96703105511,4,4,25,8.76165460804858,0,0.2602611,150,10-24-14-3-6,F300_S005000|M007_S007800|M009_S005000|M009_S010000|F021_S005000,-+++-,1,0,NaN
