ScaleR,MethodOrder,MethodID,MethodLabel,TaskInstances,RunsPerInstance,J_Mean,J_BetweenInstanceSD,J_MeanWithinRunSD,L3D_Mean_m,L3D_BetweenInstanceSD_m,L3D_MeanWithinRunSD_m,Hplus_Mean_m,Hplus_BetweenInstanceSD_m,Hplus_MeanWithinRunSD_m,FlightTime_Mean_s,FlightTime_BetweenInstanceSD_s,TransferEnergy_Mean_kJ,TransferEnergy_BetweenInstanceSD_kJ,TransferLength_Mean_m,TransferLength_BetweenInstanceSD_m,DetourCount_Mean,UnsafeStraightCount_Mean,MinimumTransferClearance_Mean_m,Improvement_Mean_pct,Improvement_BetweenInstanceSD_pct,Improvement_MeanWithinRunSD_pct,Gap_Mean_pct,Gap_BetweenInstanceSD_pct,Gap_MeanWithinRunSD_pct,Runtime_Mean_s,Runtime_BetweenInstanceSD_s,Runtime_MeanWithinRunSD_s,Generations_Mean,J_MeanPlusMinusSD,L3D_MeanPlusMinusSD_m,Hplus_MeanPlusMinusSD_m,FlightTime_MeanPlusMinusSD_s,TransferEnergy_MeanPlusMinusSD_kJ,Improvement_MeanPlusMinusSD_pct,Gap_MeanPlusMinusSD_pct,Runtime_MeanPlusMinusSD_s
5,1,FIXED,Fixed order + fixed direction,10,1,255.785296823282,20.9042219613311,0,6743.18960466971,893.18433845563,0,358.593760716494,93.201073477821,0,926.252009346132,66.2140654083169,95.9156211652138,20.544311638842,4325.68841854759,889.754155572723,4.9,4.6,25.4160924126617,0,0,0,16.4306555138528,6.42222766681293,0,4.758e-05,4.24574767659753e-05,0,0,255.785 ± 20.904,6743.190 ± 893.184,358.594 ± 93.201,926.252 ± 66.214,95.916 ± 20.544,0.000 ± 0.000,16.431 ± 6.422,0.0000 ± 0.0000
5,2,NN_DP,Nearest neighbour-DP,10,1,226.204938491012,15.703459033999,0,5449.74988615772,685.190363354019,0,276.477591837331,74.1411366887233,0,820.636405719833,49.9696603227454,66.4196018949019,15.3022658893257,3032.2487000356,681.321076070933,3.2,2.6,25.2013119687324,11.3834849607492,4.57060987027708,0,2.92765994615943,1.87544019444052,0,0.00052746,0.00120836673627394,0,0,226.205 ± 15.703,5449.750 ± 685.190,276.478 ± 74.141,820.636 ± 49.970,66.420 ± 15.302,11.383 ± 4.571,2.928 ± 1.875,0.0005 ± 0.0012
5,3,JOINT_GA,Joint-encoding GA,10,20,219.806345488093,13.9312208143971,0.267689755438317,5191.05304299192,606.515785097237,21.4337896827107,255.235392193443,54.2482863189515,5.71016015885736,800.982038911382,44.3419297987278,60.0255921634918,13.5485885074939,2773.5518568698,601.871742184715,2.885,2.395,25.1235296179532,13.8514560317713,4.58212054061694,0.108125055431698,0.0387555264302728,0.0468846638557773,0.125905004805746,0.2529209395,0.00526910764318065,0.00871480425178285,150,219.806 ± 13.931,5191.053 ± 606.516,255.235 ± 54.248,800.982 ± 44.342,60.026 ± 13.549,13.851 ± 4.582,0.039 ± 0.047,0.2529 ± 0.0053
5,4,GA_DP,Proposed GA-DP,10,20,219.724112343333,13.9772701731276,5.24881054887282e-14,5184.21752616426,608.51919930791,1.77293156317482e-12,256.482962019573,54.8990628568444,6.99841406516376e-14,800.325056165257,44.3850844811999,59.9399494610154,13.5994121442776,2766.71634004214,603.889141477944,2.9,2.4,25.1256519801365,13.8848607419873,4.57908586473293,2.55150512792429e-15,0,0,0,0.1352655515,0.00423213700692297,0.00926673684498271,150,219.724 ± 13.977,5184.218 ± 608.519,256.483 ± 54.899,800.325 ± 44.385,59.940 ± 13.599,13.885 ± 4.579,0.000 ± 0.000,0.1353 ± 0.0042
5,5,EXACT,Exact optimum,10,1,219.724112343333,13.9772701731276,0,5184.21752616426,608.519199307911,0,256.482962019573,54.8990628568444,0,800.325056165257,44.3850844811999,59.9399494610154,13.5994121442776,2766.71634004214,603.889141477944,2.9,2.4,25.1256519801365,13.8848607419873,4.57908586473293,0,0,0,0,0.00396122,0.00847064162213623,0,0,219.724 ± 13.977,5184.218 ± 608.519,256.483 ± 54.899,800.325 ± 44.385,59.940 ± 13.599,13.885 ± 4.579,0.000 ± 0.000,0.0040 ± 0.0085
10,1,FIXED,Fixed order + fixed direction,10,1,489.439026796268,19.5362546495163,0,12489.3666544945,851.944913065065,0,657.457031067313,70.7526773733678,0,1773.90995493946,60.5075436354697,170.18903704078,19.4748192394694,7662.52118345105,850.800429805956,8.7,8,25.1324893526658,0,0,0,23.1589258689178,5.54753429872801,0,3.096e-05,1.24919707545821e-05,0,0,489.439 ± 19.536,12489.367 ± 851.945,657.457 ± 70.753,1773.910 ± 60.508,170.189 ± 19.475,0.000 ± 0.000,23.159 ± 5.548,0.0000 ± 0.0000
10,2,NN_DP,Nearest neighbour-DP,10,1,416.35906592608,12.7443224436066,0,9144.03494255187,581.330738126234,0,462.745663007142,50.2141259920714,0,1516.54765182585,41.4126873543556,97.365298250627,12.8529049955931,4317.1894715084,583.598593651481,5.4,4.6,25.0811839942174,14.8261761518769,3.87293781160612,0,4.73814322306668,2.75250403926975,0,0.00020752,7.43693156557939e-05,0,0,416.359 ± 12.744,9144.035 ± 581.331,462.746 ± 50.214,1516.548 ± 41.413,97.365 ± 12.853,14.826 ± 3.873,4.738 ± 2.753,0.0002 ± 0.0001
10,3,JOINT_GA,Joint-encoding GA,10,20,405.115334135371,8.82181703747584,3.99107687102154,8698.24025556192,440.548667525142,175.449054919578,420.71671386632,29.6136917554616,20.7684708155854,1483.43816221261,30.0703098697862,86.1290248910621,9.10362156019432,3871.39478451846,444.195853084354,5.27,4.095,25.2669606234192,17.1224052132145,3.44477083546586,0.814800836508067,1.90771452717151,1.38473111592215,1.00336740466255,0.4444002155,0.261665108033535,0.085319889355803,150,405.115 ± 8.822,8698.240 ± 440.549,420.717 ± 29.614,1483.438 ± 30.070,86.129 ± 9.104,17.122 ± 3.445,1.908 ± 1.385,0.4444 ± 0.2617
10,4,GA_DP,Proposed GA-DP,10,20,398.078987677365,5.21478747045648,0.873667182109728,8399.37854672698,329.047648030244,54.3807214524766,402.922271737071,20.1404729805073,9.44635746009378,1459.88651900276,21.6426559641486,79.0591410537609,5.5651670129205,3572.53307568352,333.36311051346,4.92,3.805,25.2094279525816,18.5442364448497,3.54852585577198,0.176849775122844,0.143144142886078,0.202738830367648,0.220055861977556,0.2470899535,0.152062979123583,0.0567332069715047,150,398.079 ± 5.215,8399.379 ± 329.048,402.922 ± 20.140,1459.887 ± 21.643,79.059 ± 5.565,18.544 ± 3.549,0.143 ± 0.203,0.2471 ± 0.1521
10,5,EXACT,Exact optimum,10,1,397.512074310816,5.32343357208757,0,8382.30473843719,345.303312545035,0,399.440254485245,26.861031924176,0,1457.68147290869,23.8188225202414,78.4960286535848,5.67508263398288,3555.45926739373,350.080189227912,4.8,3.9,25.1403793003913,18.6595545181048,3.57009045590729,0,0,0,0,0.07210498,0.0493927109783035,0,0,397.512 ± 5.323,8382.305 ± 345.303,399.440 ± 26.861,1457.681 ± 23.819,78.496 ± 5.675,18.660 ± 3.570,0.000 ± 0.000,0.0721 ± 0.0494
