ScaleR,InstanceNumber,InstanceID,InputPosition,LibraryIndex,RouteID,SourceLayer,FeatureID,StartOffset_m,EndOffset_m,WaypointCount,IsPaperRoadA
5,1,R05_I01,1,24,M007_S007800,Major,7,780,1280,62,0
5,1,R05_I01,2,14,M009_S005000,Major,9,500,1000,62,0
5,1,R05_I01,3,3,M009_S010000,Major,9,1000,1500,62,0
5,1,R05_I01,4,6,F021_S005000,Minor,21,500,1000,62,0
5,1,R05_I01,5,10,F300_S005000,Minor,300,500,1000,65,0
5,2,R05_I02,1,4,M001_S001200,Major,1,120,620,62,0
5,2,R05_I02,2,21,M002_S011200,Major,2,1120,1620,62,0
5,2,R05_I02,3,20,M005_S006200,Major,5,620,1120,62,0
5,2,R05_I02,4,24,M007_S007800,Major,7,780,1280,62,0
5,2,R05_I02,5,12,F132_S000000,Minor,132,0,500,62,0
5,3,R05_I03,1,18,M001_S006200,Major,1,620,1120,62,0
5,3,R05_I03,2,20,M005_S006200,Major,5,620,1120,62,0
5,3,R05_I03,3,6,F021_S005000,Minor,21,500,1000,62,0
5,3,R05_I03,4,12,F132_S000000,Minor,132,0,500,62,0
5,3,R05_I03,5,15,F195_S001400,Minor,195,140,640,62,0
5,4,R05_I04,1,13,M002_S000000,Major,2,0,500,63,0
5,4,R05_I04,2,21,M002_S011200,Major,2,1120,1620,62,0
5,4,R05_I04,3,25,F003_S000000,Minor,3,0,500,62,0
5,4,R05_I04,4,15,F195_S001400,Minor,195,140,640,62,0
5,4,R05_I04,5,10,F300_S005000,Minor,300,500,1000,65,0
5,5,R05_I05,1,13,M002_S000000,Major,2,0,500,63,0
5,5,R05_I05,2,16,M005_S011200,Major,5,1120,1620,62,0
5,5,R05_I05,3,17,M008_S005000,Major,8,500,1000,63,0
5,5,R05_I05,4,14,M009_S005000,Major,9,500,1000,62,0
5,5,R05_I05,5,11,F005_S005000,Minor,5,500,1000,63,0
5,6,R05_I06,1,4,M001_S001200,Major,1,120,620,62,0
5,6,R05_I06,2,2,M009_S000000,Major,9,0,500,62,0
5,6,R05_I06,3,11,F005_S005000,Minor,5,500,1000,63,0
5,6,R05_I06,4,9,F010_S000000,Minor,10,0,500,63,0
5,6,R05_I06,5,15,F195_S001400,Minor,195,140,640,62,0
5,7,R05_I07,1,16,M005_S011200,Major,5,1120,1620,62,0
5,7,R05_I07,2,14,M009_S005000,Major,9,500,1000,62,0
5,7,R05_I07,3,11,F005_S005000,Minor,5,500,1000,63,0
5,7,R05_I07,4,19,F301_S005000,Minor,301,500,1000,64,0
5,7,R05_I07,5,5,F301_S010000,Minor,301,1000,1500,64,0
5,8,R05_I08,1,17,M008_S005000,Major,8,500,1000,63,0
5,8,R05_I08,2,23,F002_S000000,Minor,2,0,500,62,0
5,8,R05_I08,3,25,F003_S000000,Minor,3,0,500,62,0
5,8,R05_I08,4,8,F301_S000000,Minor,301,0,500,62,0
5,8,R05_I08,5,19,F301_S005000,Minor,301,500,1000,64,0
5,9,R05_I09,1,14,M009_S005000,Major,9,500,1000,62,0
5,9,R05_I09,2,11,F005_S005000,Minor,5,500,1000,63,0
5,9,R05_I09,3,10,F300_S005000,Minor,300,500,1000,65,0
5,9,R05_I09,4,8,F301_S000000,Minor,301,0,500,62,0
5,9,R05_I09,5,19,F301_S005000,Minor,301,500,1000,64,0
5,10,R05_I10,1,17,M008_S005000,Major,8,500,1000,63,0
5,10,R05_I10,2,2,M009_S000000,Major,9,0,500,62,0
5,10,R05_I10,3,14,M009_S005000,Major,9,500,1000,62,0
5,10,R05_I10,4,9,F010_S000000,Minor,10,0,500,63,0
5,10,R05_I10,5,15,F195_S001400,Minor,195,140,640,62,0
10,1,R10_I01,1,18,M001_S006200,Major,1,620,1120,62,0
10,1,R10_I01,2,13,M002_S000000,Major,2,0,500,63,0
10,1,R10_I01,3,20,M005_S006200,Major,5,620,1120,62,0
10,1,R10_I01,4,16,M005_S011200,Major,5,1120,1620,62,0
10,1,R10_I01,5,24,M007_S007800,Major,7,780,1280,62,0
10,1,R10_I01,6,2,M009_S000000,Major,9,0,500,62,0
10,1,R10_I01,7,3,M009_S010000,Major,9,1000,1500,62,0
10,1,R10_I01,8,6,F021_S005000,Minor,21,500,1000,62,0
10,1,R10_I01,9,22,F177_S000000,Minor,177,0,500,62,0
10,1,R10_I01,10,5,F301_S010000,Minor,301,1000,1500,64,0
10,2,R10_I02,1,18,M001_S006200,Major,1,620,1120,62,0
10,2,R10_I02,2,13,M002_S000000,Major,2,0,500,63,0
10,2,R10_I02,3,16,M005_S011200,Major,5,1120,1620,62,0
10,2,R10_I02,4,3,M009_S010000,Major,9,1000,1500,62,0
10,2,R10_I02,5,25,F003_S000000,Minor,3,0,500,62,0
10,2,R10_I02,6,11,F005_S005000,Minor,5,500,1000,63,0
10,2,R10_I02,7,6,F021_S005000,Minor,21,500,1000,62,0
10,2,R10_I02,8,7,F073_S005000,Minor,73,500,1000,62,0
10,2,R10_I02,9,12,F132_S000000,Minor,132,0,500,62,0
10,2,R10_I02,10,5,F301_S010000,Minor,301,1000,1500,64,0
10,3,R10_I03,1,18,M001_S006200,Major,1,620,1120,62,0
10,3,R10_I03,2,21,M002_S011200,Major,2,1120,1620,62,0
10,3,R10_I03,3,24,M007_S007800,Major,7,780,1280,62,0
10,3,R10_I03,4,14,M009_S005000,Major,9,500,1000,62,0
